PLevels 4563
Item 9 1
Item 19 1
Item 24 1
Item 74 0
Item 76 0
Item 77 0
Item 79 0
Item 513 4
Item 514 4
Item 518 4
Item 600 1
Item 601 1
Item 702 4
Item 1301 3
Item 1302 3
Item 1303 3
Item 1304 3
Item 1311 9
Item 1322 2
Item 1323 2
Item 1324 2
Item 1325 1
Item 1327 1
Item 1328 0
Item 1331 2
Item 1332 4
Item 1333 3
Item 1512 4
Item 1513 3
Item 1514 2
Item 1515 6
Item 1516 5
Item 1517 13
Item 1518 6
Item 1519 7
Item 1520 1
Item 1521 4
Item 1570 5
Item 1571 3
Item 1573 4
Item 1574 4
Item 1575 2
Item 1576 2
Item 1583 1
Item 1584 1
Item 1585 1
Item 1920 5
Item 1922 1
Item 1923 4
Item 1924 4
Item 1926 5
Item 1927 5
Item 1928 1
Item 1930 5
Item 1932 1
Item 1933 4
Item 1937 3
Item 1938 4
Item 1939 1
Item 1940 4
Item 1941 4
Item 1942 4
Item 1943 4
Item 1948 1
Item 1949 2
Item 1952 5
Item 2003 1
Item 2004 1
Item 2007 0
Item 2009 3
Item 2011 1
Item 2012 1
Item 2013 1
Item 2014 1
Item 2015 1
Item 2016 1
Item 2017 1
Item 2018 3
Item 2019 3
Item 2020 0
Item 2160 3
Item 2161 1
Item 2165 1
Item 2166 2
Item 2167 5
Item 2168 6
Item 2169 3
Item 2170 5
Item 2171 1
Item 2172 1
Item 2173 1
Item 2174 1
Item 2175 4
Item 2177 5
Item 2178 3
Item 2179 1
Item 2180 2
Item 2181 3
Item 2182 7
Item 2185 4
Item 2188 5
Item 2191 4
Item 2192 5
Item 2193 1
Item 2717 4
Item 2720 5
Item 2721 5
Item 2722 5
Item 2723 5
Item 2725 5
Item 2726 1
Item 2904 2
Item 2906 2
Item 2907 1
Item 2908 2
Item 2909 2
Item 2910 1
Item 2911 5
Item 2912 4
Item 2916 6
Item 2917 5
Item 2918 2
Item 2919 5
Item 2956 0
Item 2968 0
Item 3002 1
Item 3005 4
Item 3203 1
Item 3204 0
Item 3217 1
Item 3218 1
Item 3220 1
Item 3221 1
Item 3223 1
Item 3225 1
Item 3227 1
Item 3229 1
Item 3445 5
Item 3447 5
Item 3448 5
Item 3450 5
Item 3478 0
Item 3486 3
Item 3495 3
Item 3496 1
Item 3497 1
Item 3498 1
Item 3499 4
Item 3527 1
Item 3528 1
Item 3529 1
Item 3530 1
Item 3531 1
Item 3532 1
Item 3624 4
Item 3626 2
Item 3628 5
Item 3629 2
Item 3632 3
Item 3633 3
Item 3635 2
Item 3648 4
Item 3684 10
Item 3685 10
Item 3687 10
Item 4004 1
Item 4005 1
Item 4006 1
Item 4007 1
Item 4503 5
Item 4508 3
Item 4516 4
Item 4517 1
Item 4518 9
Item 4519 5
Item 4520 5
Item 4521 5
Item 4522 1
Item 4523 3
Item 4524 1
Item 4525 3
Item 4526 1
Item 4527 3
Item 4535 4
Item 4540 1
Item 4541 1
Item 5000 1
Item 5001 0
Item 5205 0
Item 5207 4
Item 5208 1
Item 5209 1
Item 5210 1
Item 5214 1
Item 5215 1
Item 5219 4
Item 5220 2
Item 5221 4
Item 5223 4
Item 5224 1
Item 5225 1
Item 5226 1
Item 5228 1
Item 5230 0
Item 5231 0
Item 5234 2
Item 5235 1
Item 5407 4
Item 5413 1
Item 5417 1
Item 5703 4
Item 5704 3
Item 5705 4
Item 5905 3
Item 5906 1
Item 5907 2
Item 5913 3
Item 5914 4
Item 5915 5
Item 6915 5
Item 6916 5
Item 6918 8
Item 6919 5
Item 6921 5
Item 7006 5
Item 7013 3
Item 7042 1
Item 7050 5
Item 7051 5
Item 7052 5
Item 7053 1
Item 7054 3
Item 7057 3
Item 7058 1
Item 7060 1
Item 7061 1
Item 7063 4
Item 7064 2
Item 7065 2
Item 7066 4
Item 7087 0
Item 7108 5
Item 7301 0
Item 7302 0
Item 7400 0
Item 7401 0
Item 7402 0
Item 7403 0
Item 7404 0
Item 7405 0
Item 7407 0
Item 7408 0
Item 7409 4
Item 7412 1
Item 7413 1
Item 7419 0
Item 7504 13
Item 7509 2
Item 7510 2
Item 7511 1
Item 7615 11
Item 7616 11
Item 7617 11
Item 7618 4
Item 7619 5
Item 7620 3
Item 7623 8
Item 7624 7
Item 7625 2
Item 7626 2
Item 7627 5
Item 7630 5
Item 7631 5
Item 7633 5
Item 7634 4
Item 7635 4
Item 7641 2
Item 7642 2
Item 7643 1
Item 7646 0
Item 7649 7
Item 7650 7
Item 7651 0
Item 7652 2
Item 7653 2
Item 7654 2
Item 7655 2
Item 7703 5
Item 7706 2
Item 7709 2
Item 7717 4
Item 7719 1
Item 7720 1
Item 7721 1
Item 7722 1
Item 7723 1
Item 7725 0
Item 7726 1
Item 7727 5
Item 7728 18
Item 7729 10
Item 7730 1
Item 8236 5
