name|vnum|limit_factor|limit
a philter of lycanthropy|9|1|1
a redwood staff|19|1|1
a teak cabinet|24|1|1
the skull of the demilich Vila|59|1|1
the Hammer of Garran|74|1|1
the Amulet of the Sun and Moon|76|1|1
the Ring of Adi|77|1|1
the rune of stars|79|1|1
a blade of light|94|5|5
a necklace of %d ears|96|1000|1000
a generic dark iron weapon|97|1000|1000
the scrolls of Logor|150|1|1
a ch'lonin sword|152|1|1
the breastplate of Nador|153|1|1
a pair of twice-blessed gloves|154|1|1
a beautiful mirror-stone ring|157|1|1
a prismatic cloak|158|1|1
a translucent diamond necklace|159|1|1
the first volume of Belerin's "Codex of the Planes"|162|1|1
the Stone of Akhen|166|1|1
a writhing handful of khuzindul pupae|191|10000|10000
a pale white pill|192|10000|10000
a carved length of crystal|223|1|1
a thin clay tablet|225|2|2
a dark, sooty robe|248|1|1
a hardened shaft of mei'tzec|278|1|1
the Fanged Codpiece of Sorrows|284|1|1
the Crown of Woven Fowl Tongues|285|1|1
the ancient black whip, "Eyiicr"|330|1|1
a harp of bone|333|1|1
a steel-capped black staff|342|10|10
the Staff of Vysara|356|1|1
a large, bone-shafted key|360|1|1
the commemorative gold medallion of Avisiel|361|50|50
the commemorative gold medallion of Ainyare|362|50|50
the commemorative gold medallion of Aerithn|363|50|50
the commemorative gold medallion of Rhaokris|364|50|50
a flat, rough-edged stone|367|1|1
a shining lightning sword|398|3|3
a stone club|513|25|25
a bearskin tunic|514|50|50
a scaled bracer|518|70|70
the Mace of the Jandiska|600|1|1
the consecrated Blade of Iandir|601|1|1
a perfect iron key|605|1|1
a willow branch|702|50|50
a small golden orb|709|1|1
a tiny platinum pin, shaped as a dagger|710|1|1
the double-bladed axe, "Sin"|1200|1|1
a massive black shield engulfed in flame|1201|1|1
the Crimson Mantle of the Eye|1238|1|1
the Sigil of Sythrak|1260|1|1
a glittering obsidian rapier|1278|1|1
a dusky-hued dirk|1279|1|1
a white bow with a golden bowstring|1291|1|1
a black arrow fletched with silver feathers|1293|1|1
a blackened thorn|1301|40|40
a twisted black oak branch|1302|40|40
a whip braided from rotting branches|1303|40|40
a spear of decaying oak|1304|40|40
an ironwood sword|1311|100|100
an ironwood great axe|1322|30|30
the breastplate of an ethron highguard|1323|30|30
the amulet of the Eqiril Clanchief|1324|30|30
a ragged loincloth|1325|15|15
a jagged black stone|1327|1|1
a living tree branch|1331|30|30
a stout staff of green wood|1332|45|45
a necklace of leaves|1333|35|35
the rowan lyre, "Rotsbane"|1383|1|1
a fine steel broadsword|1512|50|50
bracers of the Krilin military|1513|40|40
a leather apron|1514|2|2
a fine ashen longbow|1515|70|70
a red-hot iron bar|1516|40|40
a Krilin signet pendant|1517|12|12
a fine steel rapier|1518|5|5
a ring set with the crest of Krilin|1519|10|10
a shimmering bronze medallion|1520|4|4
a fine steel two-handed sword|1521|5|5
a finely-strung guitar|1570|250|250
a gem-studded bracelet|1571|40|40
a long staff bound in silver|1573|60|60
a pair of suede boots|1574|50|50
a jade amulet|1575|30|30
a gleaming emerald ring|1576|25|25
a holy symbol of Jolinn|1583|11|11
a deep blue robe|1584|20|20
a shimmering, curved blade|1585|3|3
a pair of red-hot tongs|1594|3|3
a silver flute inlaid with jade|1619|150|150
a towering pile of crates|1808|400|400
a quill pen|1920|120|120
an obsidian mask|1922|20|20
a jade bracelet|1923|50|50
a golden horn|1924|50|50
a fine necklace|1926|9|9
a golden tiara|1927|7|7
a silver sceptre|1928|15|15
a thin gold ring|1930|90|90
a pair of well-made gauntlets|1932|15|15
an ornate belt buckle|1933|5|5
a small statue of an amber dragon|1937|40|40
a charcoal black vest|1938|5|5
the claw of Kzroth the demon lord|1939|1|1
a pair of charcoal black leggings|1940|5|5
a pair of charcoal black armguards|1941|5|5
a charcoal black helm|1942|5|5
a pair of charcoal black boots|1943|5|5
a tall headdress|1948|20|20
a pair of pale gloves|1949|25|25
an amber and gold pendant|1952|9|9
the smoldering heart of Kzroth the Demon Lord|1960|1|1
the flaming blade, 'Myrithiar'|2003|1|1
a circlet of light|2004|1|1
a delicate silver necklace|2007|1|1
a griffin's talon|2009|3|3
an incandescent gold robe|2011|1|1
a wide gold necklace|2012|1|1
a crystal shield|2013|1|1
a pair of delicate laced sleeves|2014|1|1
the ivory mace, "Myrilliar"|2015|1|1
a sparkling white sash|2016|1|1
a gold and jade ring|2017|1|1
a golden breastplate|2018|12|12
a diamond-tipped spear|2019|12|12
a sparking crown of energy|2020|1|1
an ivory box|2021|1|1
a holy symbol of Jolinn|2102|100|100
a holy symbol of Rystaia|2103|100|100
a holy symbol|2104|100|100
a pair of gleaming ch'lonin vambraces|2105|10|10
a holy symbol of Calaera|2106|100|100
a mote of darkness|2107|1000|1000
a holy symbol of Aeolis|2108|100|100
a long ch'lonin phalanx spear|2109|10|10
a large, round shield of ch'lonin|2110|10|10
a wooden barricade|2113|400|400
a forged iron helm, crested behind the crown|2120|200|200
a black iron neckplate|2121|85|85
an iron pendant set with a carnelian skull|2122|200|200
a breastplate of black iron|2123|200|200
plate leggings of black iron|2124|100|100
a pair of flat black leather shoes|2125|200|200
an iron bracer|2126|120|120
some brigandine leather sleeves|2127|1000|1000
a simple iron longsword|2128|1000|1000
a quilted robe of black leather|2129|1000|1000
a runed circlet of iron|2130|1000|1000
an iron tower shield|2132|200|200
a steel-capped black staff|2133|1000|1000
a vial of brown liquid|2717|3|3
a finely wrought mace|2720|12|12
a red wool cloak|2721|10|10
a pair of black leather boots|2722|10|10
an engraved ivory bracelet|2723|10|10
a runed gold ring|2725|5|5
an unevenly faceted stone|2726|2|2
an iron bracer|2730|10|10
a pair of chainmail leggings|2731|12|12
the Dragon ring|2904|2|2
a tiny statue of a dragon|2906|2|2
the Dragon crown|2907|20|20
a golden lance|2908|25|25
the Dragon amulet|2909|2|2
a golden shield|2910|20|20
an amber dragonscale vest|2911|5|5
a silvery whip|2912|60|60
an amber dragonscale helm|2916|9|9
a pair of amber dragonscale leggings|2917|5|5
an amber dragonscale bracer|2918|2|2
a pair of amber dragonscale sleeves|2919|5|5
a pair of gold arm bands|2950|1|1
a golden chainmail vest|2951|1|1
an intricate gold bracelet|2952|1|1
a sparkling sunstone pendant|2953|1|1
a pair of gold dragonscale leggings|2954|1|1
a shimmering gold cloak|2955|1|1
a small ring|2956|1|1
a sparkling blade of light|2968|1|1
a ring of deep gold, inset with a glimmering black opal|2971|1|1
the Ring of the Rose|2977|1|1
a silver vial of glimmering liquid|2980|3|3
a pair of dark silky leggings|2981|1|1
a flameblade|2990|1|1
a blazing twin-bladed ax'niara|3000|1|1
the chitinous black armor|3002|1|1
an ancient black bracer|3005|5|5
a half-buried obelisk|3013|1|1
(Translucent) bulky, milky-white astral vambraces|3015|1|1
(Translucent) a set of milky-white astral plate armor|3016|1|1
(Translucent) bulky, milky-white astral pauldrons|3017|1|1
(Translucent) a fitted war-helm, shaped like a boar's head|3018|1|1
an enormous diamond-headed lucern hammer, plated in silver|3021|1|1
a runed amulet wrought from red metal|3203|1|1
the sting of Atthagth|3204|1|1
a gargantuan band of stone carved with strange symbols|3217|1|1
a massive stone rod|3218|1|1
a long stone wand|3220|1|1
the Totem of Xiganath|3221|1|1
the blessed silver shield of Ulyon|3223|1|1
the Staff of Memang|3225|1|1
the Black Blade of Tsyaegn|3227|1|1
an ebony bowl|3229|1|1
a string of steel teeth|3418|400|400
a short knife|3445|100|100
a dark brown cape|3446|40|40
a heavy iron mace|3447|100|100
a studded leather vest|3448|10|10
a gray assassin's robe|3450|100|100
a silver locket|3478|1|1
a staff studded with iron|3486|30|30
a great Var Bandor breastplate|3495|40|40
a pair of giant bronze boots|3496|11|11
a pair of giant bronze bracers|3497|11|11
a great helmet|3498|11|11
a great claymore|3499|4|4
a steel saurian skull-mask|3502|400|400
an intricately carved steel chestplate|3503|400|400
a set of steel hand-claw extensions|3504|400|400
a set of carved steel leggings|3505|400|400
a set of steel rear-claw extensions|3506|400|400
an intricately carved steel ring|3507|400|400
a heavy iron greatsword|3508|400|400
a thick-bladed long knife|3509|400|400
a spiked iron morning star|3510|400|400
an enormous iron flail|3511|400|400
a length of spiked chain|3512|400|400
a sharp, iron-tipped spear|3513|400|400
a heavy-bladed poleaxe|3514|400|400
a crude iron battle axe|3518|400|400
a blue-runed dagger|3527|20|20
a dagger of pure white|3528|20|20
a sparking steel dagger|3529|20|20
a stone mace|3530|20|20
a smoky black dagger|3531|20|20
a sacrificial dagger|3532|20|20
a short, sharp sword|3590|21|21
a darkened steel shield engraved with a web|3593|20|20
a black-bladed sword|3594|17|17
a spear tipped with a burning flame|3595|20|20
a stone-headed halberd|3596|20|20
a light, blue-bladed rapier|3597|20|20
a two-handed sword inset with sapphires|3598|20|20
a length of sparkling white energy|3599|20|20
a pair of leather gloves backed with glass|3602|20|20
a well-embroidered coat of fine silk|3603|120|120
a jewelled pendant|3624|50|50
a soft blue cloak|3626|30|30
a short wooden wand|3628|30|30
a faded scroll|3629|30|30
a black leather vest|3632|40|40
a thin steel sword|3633|40|40
a pair of iron arm bands|3635|30|30
a topaz ring|3648|60|60
an ornate lyre|3666|30|30
a gold-trimmed flute|3667|40|40
a triangular obsidian tablet|3668|1|1
a dollop of red goo|3670|8|8
a dollop of silver goo|3671|4|4
a shal'kril|3673|1|1
a blackened husk of a shal'kril|3674|1|1
a key of bone|3676|1|1
the crested helmet of an elite Var Bandor guard|3684|10|10
a well-polished sword of gleaming steel|3685|10|10
an elite Var Bandor guard's breastplate|3687|10|10
a long, straight sword|3689|20|20
a steel-headed ranseur|3690|20|20
a steel-headed flail|3692|20|20
an ancient parchment covered with silver lettering|3696|1|1
a tome bound in ancient black leather|3697|200|200
an ornate gold pan flute|4004|1|1
a soft, white cloak clasped with a sunstone pendant|4005|1|1
a shining orb|4006|1|1
the shimmering whip, 'Kas-yrah'|4007|1|1
a burbling spring|4011|1|1
a painted ceramic bracelet|4025|400|400
a ceramic band inlaid with silver|4026|400|400
a painted white chatelaine|4027|400|400
a beaded headband|4035|400|400
a porcelain bead necklace|4036|400|400
a glazed ceramic bangle|4041|400|400
a pair of dangling ceramic earrings|4042|400|400
a necklace of living sprouts|4048|400|400
an anklet of living sprouts|4049|200|200
a bracelet of living sprouts|4050|400|400
a belt of living sprouts|4060|400|400
a pair of high-laced leather boots|4071|200|200
a tight leather jerkin|4072|300|300
an airy linen shirt|4073|300|300
a tight pair of leather trousers|4074|400|400
a loose linen sarong|4075|300|300
a tight pair of leather gloves|4080|400|400
a floral ceramic pendant|4098|400|400
an ivory pipe|4110|10|10
a pair of luxurious slippers|4115|10000|10000
the Staff of Pedantry|4123|1|1
a draconic skull made of ice|4126|2|2
a set of draconic claws made of ice|4127|3|3
a great scaly hide made of ice|4128|30|30
a wooden stool|4137|1|1
a stone amulet|4138|1|1
a skull dripping with blood|4142|2|2
a small dull-grey stone|4146|9|9
a cloak of fire resistance|4147|9|9
the beak of a carnage bird|4159|1|1
a staff of hen summoning|4160|10|10
a cloak formed of liquid ice|4172|1|1
a vorpal necklace|4176|1|1
the Wand of Wonder|4190|1|1
the garish cap of a fool|4191|1|1
the motley vestments of a fool|4192|1|1
the raffish pantaloons of a fool|4193|1|1
the vulgar yellow cape of a fool|4194|1|1
the gaudy sceptre of a fool|4195|1|1
the simple cap of a sage|4196|1|1
the humble leggings of a sage|4198|1|1
the somber robes of a sage|4199|1|1
the austere rod of a sage|4200|1|1
a book entitled "The Mystic Art of Topiary"|4218|1|1
an electrum dagger|4231|1|1
a towering pile of crates|4409|400|400
several smaller crates|4410|400|400
several large barrels|4411|400|400
an engraved ivory tusk hanging on a cord|4418|10|10
a silver fox-fur shawl|4420|5|5
a long, fur-lined woolen coat|4421|5|5
a pure crystal flute|4489|1|1
(no short description)|4491|50|50
heavy leather boots, plated with black iron|4492|50|50
black iron platemail leggings|4493|50|50
a full-helm of forged black iron|4494|50|50
a hammered iron chestplate|4495|50|50
a plated gorget of black iron|4496|50|50
